time,cell_counts
10,10238.70625936901
11,11639.583721681238
11,83643.95951937871
11,21233.954468787564
11,43586.290784787525
12,56497.499692737925
12,89052.0684523042
12,363701.00979079196
13,141830.87504719102
13,172994.77659976375
13,176037.3404103927
13,131488.22736642224
13,143290.85555329628
13,286046.60317087086
14,233020.65363501024
14,188701.38419117554
14,134256.86476124907
14,212902.14490025767
15,301957.08956459217
15,284574.51929101476
15,577837.2385837638
15,465485.53679098695
16,242573.8366775091
16,173206.37707787298
17,437241.1145432511
17,850418.0261229558
18,464392.7377974054
18,412237.17041503004
19,851550.607956702
19,1201669.6107460095
20,436004.6925015363
20,554817.0017922296
21,878895.546267987
21,1411984.936748706
22,1295523.8214927597
22,395885.38312716474
23,1352898.3594357516
23,652247.1163868227
24,1072290.934385503
24,990073.6238592077
25,1038638.5892515813
25,411325.2849675328
26,510226.00466872856
26,1553399.8889691068
27,1057612.4805560226
27,1313613.89857593
34,1313304.0779350165
34,1510921.1733385443
37,727275.0579030883
37,1193483.9766012034
39,1200398.1947215225
39,531309.6699526395
42,673627.2814645334
42,2159127.142284797
50,483393.6649749779
50,1173361.7975145972
51,623585.2587566334
51,1483888.586119905
55,441789.3654231243
55,1142032.6591901642
55,2104929.048156503
55,870099.5757745719
57,1009929.0741937557
57,870446.3158954974
