time,cell_counts
10,10178.500743558221
11,17811.14629725253
11,45071.42122559528
11,54165.294021458176
12,153959.5230760657
12,76966.98106406466
12,265616.2964048433
12,364958.6554609225
13,206668.7803689091
13,339840.2823196234
13,390677.8754455198
13,231837.9863917968
14,284402.6201332175
14,533159.4002192181
14,445116.46042999456
14,194830.1428816031
15,370179.35551126424
15,400283.3309778137
15,799872.2206081697
15,528452.6863794215
16,667828.2732102362
16,340438.7887955788
17,545273.6115383257
17,652408.2830593752
18,750578.5945213712
18,534487.9620468025
19,954656.4647004745
19,1216968.365783993
20,980145.7611842892
20,693636.9402072941
21,1012016.3341933282
21,994314.6307803616
22,567161.7141293222
22,591838.32917579
26,1354299.2445367768
26,1504963.335265442
34,725571.2000435677
34,603979.4556126818
37,1568827.5779779444
37,1099877.748930061
39,819184.5430442871
39,965213.2117040606
50,1559565.682093312
50,801444.3079951411
51,922647.2919878864
51,1065103.2862644764
55,1912464.378806839
55,1513510.2659112397
55,695799.9305865442
55,837730.8128847699
57,1220115.0950660605
57,1994141.3801653606
